,pos,neg,neutral,num_tweets,Pos
Lamar Jackson,0.377,0.501,0.0,12.0,QB
Dak Prescott,0.0,0.0,0.0,1.0,QB
Russell Wilson,0.398,0.115,0.0,12.0,QB
Deshaun Watson,0.45799999999999996,0.30000000000000004,0.0,4.0,QB
Jameis Winston,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,0.213,0.0,0.0,2.0,QB
Josh Allen,0.139,0.226,0.0,2.0,QB
Kyler Murray,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,0.153,0.0,0.0,3.0,QB
Carson Wentz,0.0,0.0,0.0,0.0,QB
Matt Ryan,0.0,0.113,0.0,2.0,QB
Tom Brady,1.3580000000000003,0.6559999999999999,0.0,14.0,QB
Jared Goff,0.0,0.112,0.0,4.0,QB
Derek Carr,0.0,0.0,0.0,0.0,QB
Jimmy Garoppolo,0.0,0.155,0.0,2.0,QB
Kirk Cousins,0.227,0.261,0.0,5.0,QB
Ryan Fitzpatrick,0.0,0.0,0.0,0.0,QB
Philip Rivers,0.0,0.0,0.0,1.0,QB
Baker Mayfield,0.546,0.0,0.0,2.0,QB
Drew Brees,1.646,2.5229999999999997,0.0,21.0,QB
Christian McCaffrey,0.0,0.239,0.0,7.0,RB
Derrick Henry,0.78,0.0,0.0,13.0,RB
Aaron Jones,0.518,0.123,0.0,12.0,RB
Ezekiel Elliott,0.0,0.0,0.0,0.0,RB
Dalvin Cook,0.0,0.0,0.0,3.0,RB
Nick Chubb,0.211,0.199,0.0,3.0,RB
Austin Ekeler,0.0,0.0,0.0,2.0,RB
Mark Ingram,0.0,0.175,0.0,4.0,RB
Chris Carson,0.0,0.0,0.0,3.0,RB
Saquon Barkley,0.0,0.0,0.0,2.0,RB
Todd Gurley,0.0,0.0,0.0,0.0,RB
Leonard Fournette,0.0,0.0,0.0,0.0,RB
Josh Jacobs,0.657,0.0,0.0,4.0,RB
Alvin Kamara,0.2,0.0,0.0,2.0,RB
Miles Sanders,0.0,0.0,0.0,0.0,RB
Marlon Mack,0.193,0.0,0.0,4.0,RB
Phillip Lindsay,0.0,0.0,0.0,0.0,RB
Kenyan Drake,0.0,0.0,0.0,0.0,RB
Raheem Mostert,0.0,0.0,0.0,3.0,RB
Le'Veon Bell,0.0,0.0,0.0,1.0,RB
Travis Kelce,0.0,0.0,0.0,2.0,TE
Mark Andrews,0.0,0.0,0.0,2.0,TE
George Kittle,0.259,0.0,0.0,3.0,TE
Darren Waller,0.0,0.0,0.0,4.0,TE
Zach Ertz,0.144,0.0,0.0,2.0,TE
Jared Cook,0.0,0.0,0.0,0.0,TE
Austin Hooper,0.0,0.0,0.0,1.0,TE
Hunter Henry,0.0,0.0,0.0,0.0,TE
Tyler Higbee,0.0,0.0,0.0,1.0,TE
Dallas Goedert,0.144,0.0,0.0,1.0,TE
Mike Gesicki,0.294,0.0,0.0,2.0,TE
Darren Fells,0.0,0.0,0.0,0.0,TE
Jason Witten,0.0,0.0,0.0,1.0,TE
Kyle Rudolph,0.0,0.0,0.0,0.0,TE
Greg Olsen,0.0,0.0,0.0,1.0,TE
Noah Fant,0.0,0.0,0.0,0.0,TE
Jonnu Smith,0.0,0.0,0.0,1.0,TE
Jack Doyle,0.0,0.0,0.0,0.0,TE
Evan Engram,0.0,0.0,0.0,0.0,TE
Jimmy Graham,0.0,0.0,0.0,0.0,TE
Lamar Jackson,0.377,0.501,0.0,12.0,QB
Dak Prescott,0.0,0.0,0.0,1.0,QB
Russell Wilson,0.398,0.115,0.0,12.0,QB
Deshaun Watson,0.45799999999999996,0.30000000000000004,0.0,4.0,QB
Jameis Winston,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,0.213,0.0,0.0,2.0,QB
Josh Allen,0.139,0.226,0.0,2.0,QB
Kyler Murray,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,0.153,0.0,0.0,3.0,QB
Carson Wentz,0.0,0.0,0.0,0.0,QB
Matt Ryan,0.0,0.113,0.0,2.0,QB
Tom Brady,1.3580000000000003,0.6559999999999999,0.0,14.0,QB
Jared Goff,0.0,0.112,0.0,4.0,QB
Derek Carr,0.0,0.0,0.0,0.0,QB
Jimmy Garoppolo,0.0,0.155,0.0,2.0,QB
Kirk Cousins,0.227,0.261,0.0,5.0,QB
Ryan Fitzpatrick,0.0,0.0,0.0,0.0,QB
Philip Rivers,0.0,0.0,0.0,1.0,QB
Baker Mayfield,0.546,0.0,0.0,2.0,QB
Drew Brees,1.646,2.5229999999999997,0.0,21.0,QB
